date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:06	76629/76629	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202016%2015:34:08%20GMT	http://corpthemes.com/html/isuzu/stylesheets/revolution-slider.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/revolution-slider.css	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:07	10046/10046	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Mar%202016%2021:51:12%20GMT	http://corpthemes.com/html/isuzu/stylesheets/magnific-popup.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/magnific-popup.css	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:08	1858/1858	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Aug%202016%2013:48:28%20GMT	http://corpthemes.com/html/isuzu/images/search.svg	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/images/search.svg	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:08	98511/98511	---M--	200	added ('OK')	application/javascript	date:Mon,%2017%20Nov%202014%2016:25:12%20GMT	http://corpthemes.com/html/isuzu/javascript/jquery.themepunch.tools.min.js	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/javascript/jquery.themepunch.tools.min.js	(from http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements)
11:34:10	113138/113138	---M--	200	added ('OK')	application/javascript	date:Wed,%2026%20Nov%202014%2021:23:30%20GMT	http://corpthemes.com/html/isuzu/javascript/jquery.themepunch.revolution.min.js	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/javascript/jquery.themepunch.revolution.min.js	(from http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements)
11:34:16	47653/47653	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Nov%202016%2016:41:44%20GMT	http://corpthemes.com/html/isuzu/images/off-canvas.jpg	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/images/off-canvas.jpg	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:17	39995/39995	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Dec%202016%2020:57:58%20GMT	http://corpthemes.com/html/isuzu/images/parallax/bg-parallax2.jpg	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/images/parallax/bg-parallax2.jpg	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:18	63577/63577	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Nov%202016%2014:20:56%20GMT	http://corpthemes.com/html/isuzu/images/parallax/bg-parallax1.jpg	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/images/parallax/bg-parallax1.jpg	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:19	38791/38791	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Dec%202020%2008:04:18%20GMT	http://corpthemes.com/html/isuzu/images/parallax/bg-parallax4.jpg	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/images/parallax/bg-parallax4.4f.delayed	(from http://corpthemes.com/html/isuzu/stylesheets/style.css)
11:34:23	24616/24616	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Dec%202016%2015:35:28%20GMT	http://corpthemes.com/html/isuzu/images/portfolio/simple/2.1.jpg	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/images/portfolio/simple/2.1.jpg	(from http://corpthemes.com/html/isuzu/index2.html)
